id;store_name;store_status;timestamp
1;Unbranded Wooden Shirt repurpose;Keyboard Accounts;2020-11-14T07:08:35
2;Horizontal Soft Tennessee;Cotton collaborative implementation;2020-11-14T21:52:54
3;Cheese Vista;Quality-focused sensor;2020-11-14T12:39:41
4;Pants;Wooden payment;2020-11-14T04:21:22
5;middleware;Michigan COM Horizontal;2020-11-14T22:34:05
6;Future Shirt Awesome Granite Chicken;system driver;2020-11-14T16:46:53
7;digital;1080p alarm Lock;2020-11-14T10:09:35
8;Jordanian Dinar access Tala;generating Jewelery payment;2020-11-14T11:03:59
9;Corporate Cotton;task-force South Carolina;2020-11-15T00:41:30
10;Digitized parsing Course;synergize;2020-11-14T23:39:49
